week,global_week,position,n_players,avg_log_likelihood,avg_range_prob,avg_brier_15,avg_brier_20
2,20,QB,27,-3.4398379648300836,0.1958,0.2456321711111111,0.25377805444444446
2,20,RB,40,-3.3080516570544782,0.21757999999999997,0.20774507999999997,0.10217950075
2,20,WR_TE,77,-3.4787627966469943,0.26138441558441555,0.17384388584415583,0.09244341935064936
3,21,QB,25,-3.4623223790820497,0.18669199999999997,0.30180230319999996,0.1954155988
3,21,RB,41,-3.246727069733893,0.23986829268292686,0.1557085031707317,0.09402891975609756
3,21,WR_TE,74,-3.556678230870277,0.23683378378378375,0.159349017972973,0.07840899337837838
4,22,QB,25,-3.39890120543903,0.192024,0.2555181784,0.19429246239999998
4,22,RB,40,-3.3094706895243275,0.22490749999999998,0.13542358650000003,0.09752774125000001
4,22,WR_TE,75,-3.4474187292836884,0.2417746666666667,0.20753547653333332,0.11964427293333335
5,23,QB,20,-3.4372261121802596,0.18405,0.19967742399999996,0.3278158495
5,23,RB,33,-3.463737601734837,0.21612727272727272,0.19316782393939394,0.1505602003030303
5,23,WR_TE,64,-3.40889072211432,0.2519078125,0.18389461921875003,0.11112760734374999
6,24,QB,22,-3.114316345349012,0.22220909090909088,0.17452435000000002,0.19749457454545452
6,24,RB,37,-3.4936910846438147,0.20107027027027027,0.1847663908108108,0.11066302135135134
6,24,WR_TE,67,-3.4631692124362794,0.24762089552238808,0.18561292,0.11527886507462687
7,25,QB,22,-3.749001254555286,0.16363636363636366,0.22996056636363632,0.2704522318181818
7,25,RB,38,-3.3281083657064587,0.24421578947368422,0.15583295368421052,0.05579529263157897
7,25,WR_TE,66,-3.515200056475644,0.2678621212121212,0.16763440454545453,0.138526545
8,26,QB,17,-3.6268095011286023,0.15096470588235295,0.2695615576470588,0.35404523529411763
8,26,RB,34,-3.5153369115709796,0.21849117647058822,0.18782120352941173,0.1040331717647059
8,26,WR_TE,61,-3.15737087747432,0.26983934426229506,0.15579813885245905,0.08080323016393444
9,27,QB,21,-3.723895060829437,0.169,0.18200759857142856,0.253842150952381
9,27,RB,35,-3.223622606683166,0.2543742857142857,0.14000792428571426,0.097352196
9,27,WR_TE,72,-3.255313262597306,0.2716083333333333,0.1767495348611111,0.09326949041666667
10,28,QB,21,-3.551262851628863,0.1777,0.2785049452380952,0.20093871047619047
10,28,RB,36,-3.701990814857907,0.24764444444444444,0.16129260138888887,0.07412339972222222
10,28,WR_TE,66,-3.312702879787357,0.24631818181818185,0.16893638636363636,0.10834230893939394
11,29,QB,24,-3.64803557905039,0.17860833333333334,0.2571220354166667,0.16449796916666667
11,29,RB,38,-3.2330435219691824,0.24022368421052634,0.1281222092105263,0.10030223052631582
11,29,WR_TE,72,-3.331483534122831,0.24684166666666663,0.1645088976388889,0.09501312791666666
12,30,QB,20,-3.5394414366459066,0.188275,0.23353112300000003,0.20091137249999996
12,30,RB,37,-3.357792230139746,0.23099729729729726,0.15586833459459457,0.09899455162162164
12,30,WR_TE,64,-3.3157496682812355,0.2592640625,0.1475036446875,0.08625257140624999
13,31,QB,24,-3.1971203043461665,0.2226041666666667,0.1812270175,0.16148409791666665
13,31,RB,40,-3.1656874657637912,0.24076,0.164656664,0.07793310975000001
13,31,WR_TE,84,-3.395854173694086,0.2588130952380953,0.1568427480952381,0.1175280488095238
14,32,QB,21,-3.554353277695654,0.17244761904761904,0.1977959695238095,0.2692402814285714
14,32,RB,35,-3.1439011518630946,0.25148571428571426,0.1517530037142857,0.05580763942857143
14,32,WR_TE,69,-3.258543281247251,0.2834463768115942,0.1335081636231884,0.0848024391304348
15,33,QB,22,-3.4500146356069834,0.20745909090909087,0.20820571772727273,0.21783953272727266
15,33,RB,40,-3.241424102910071,0.24567750000000005,0.1527571045,0.10680806775
15,33,WR_TE,81,-3.034869667125442,0.30726543209876545,0.11237838197530864,0.06560451382716051
16,34,QB,23,-3.4697273499000434,0.18092173913043477,0.16506874826086956,0.17735261
16,34,RB,42,-3.2654508591226525,0.21941666666666665,0.14329150642857144,0.11381768976190475
16,34,WR_TE,83,-3.1890121362568657,0.30869397590361447,0.12237250602409637,0.08955943819277111
